,Hours in Course,Lecture attendance %,Workshop attendance %,Feedback attendance %,Total attendance %
Hours in Course,1.0,0.4651474943945708,0.42443735576741604,0.47081488710159486,0.5075360569964724
Lecture attendance %,0.4651474943945708,1.0,0.6772231512047284,0.7134944180814888,0.8862893108389931
Workshop attendance %,0.42443735576741604,0.6772231512047284,1.0,0.7011059164330905,0.8875533177826422
Feedback attendance %,0.47081488710159486,0.7134944180814888,0.7011059164330905,1.0,0.9061114364791629
Total attendance %,0.5075360569964724,0.8862893108389931,0.8875533177826422,0.9061114364791629,1.0
